task_id,task_name,base_index,repeat_index,repeat_total,gpu_id,return_code,elapsed_sec,started_at,dry_run,log_path,command
43,yellow_splicing_promptad,5,3,10,1,0,182.346,2026-03-18 21:18:31,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0043.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
44,yellow_splicing_promptad,5,4,10,3,0,180.496,2026-03-18 21:18:49,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0044.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
45,yellow_splicing_promptad,5,5,10,0,0,180.775,2026-03-18 21:19:10,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0045.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
46,yellow_splicing_promptad,5,6,10,2,0,182.38,2026-03-18 21:19:51,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0046.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
47,yellow_splicing_promptad,5,7,10,1,0,183.659,2026-03-18 21:21:34,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0047.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
48,yellow_splicing_promptad,5,8,10,3,0,179.841,2026-03-18 21:21:49,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0048.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
49,yellow_splicing_promptad,5,9,10,0,0,180.331,2026-03-18 21:22:11,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0049.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
50,yellow_splicing_promptad,5,10,10,2,0,182.777,2026-03-18 21:22:53,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0050.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model promptad --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
51,yellow_splicing_winclip,6,1,10,1,0,145.239,2026-03-18 21:24:37,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0051.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
52,yellow_splicing_winclip,6,2,10,3,0,209.147,2026-03-18 21:24:49,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0052.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
53,yellow_splicing_winclip,6,3,10,0,0,212.147,2026-03-18 21:25:12,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0053.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
54,yellow_splicing_winclip,6,4,10,2,0,212.832,2026-03-18 21:25:56,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0054.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
55,yellow_splicing_winclip,6,5,10,1,0,209.73,2026-03-18 21:27:03,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0055.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
56,yellow_splicing_winclip,6,6,10,3,0,208.377,2026-03-18 21:28:18,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0056.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
57,yellow_splicing_winclip,6,7,10,0,0,210.27,2026-03-18 21:28:44,0,logs/multi_gpu_work_queue/20260318_204251/gpu_0/task_0057.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
58,yellow_splicing_winclip,6,8,10,2,0,233.009,2026-03-18 21:29:29,0,logs/multi_gpu_work_queue/20260318_204251/gpu_2/task_0058.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
59,yellow_splicing_winclip,6,9,10,1,0,211.97,2026-03-18 21:30:32,0,logs/multi_gpu_work_queue/20260318_204251/gpu_1/task_0059.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
60,yellow_splicing_winclip,6,10,10,3,0,154.982,2026-03-18 21:31:46,0,logs/multi_gpu_work_queue/20260318_204251/gpu_3/task_0060.log,python train_hybrid.py --data_name yellow_splicing --mask True --text True --double_encoder True --few_shot True --shot 1 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
