result_date,data_name,hybrid_model,shot,run_count,best_la_auc,hybrid_only_la_auc,best_la_aupc,hybrid_only_la_auprc,best_la_f1,hybrid_only_la_f1
2026-03-18,cherry_juice,promptad,5,10,0.9195884146341464,0.8553353658536584,0.8842814652602575,0.7428622592101253,0.8657072731843808,0.8277770389621173
2026-03-18,cherry_juice,winclip,1,10,0.893673780487805,0.7543445121951219,0.8479525168509309,0.6262579903639316,0.8498542154240584,0.7448279643484526
2026-03-18,cherry_juice,winclip,5,11,0.9201773835920178,0.7990576496674057,0.8762992341314121,0.6671110947311356,0.8786698170108193,0.7723327144041694
2026-03-18,screw_bag,promptad,1,10,0.5899994016991743,0.5758795022137131,0.5644296539987135,0.5158655723226133,0.6555141970414413,0.6543841557169887
2026-03-18,screw_bag,promptad,5,11,0.6349739467185919,0.6232690069294115,0.5955623314279692,0.5633096914426126,0.6612089621737096,0.6689692164210578
2026-03-18,screw_bag,winclip,1,10,0.5936490367356707,0.5503320569582385,0.5775907031332037,0.5199108483167377,0.6531147528633116,0.6438175786241515
2026-03-18,screw_bag,winclip,5,11,0.6066226462301608,0.5599279863369847,0.5899524842134082,0.5247055544694953,0.6522721722433918,0.645022873141429
2026-03-18,blue_splicing,promptad,1,10,0.6950416666666667,0.6731666666666667,0.7195760197532175,0.7040119210768342,0.7927180706424839,0.7871180920433845
2026-03-18,blue_splicing,promptad,5,10,0.75,0.6968333333333334,0.7686159088067857,0.718410471223516,0.8225550895284158,0.8003095172227177
2026-03-18,blue_splicing,winclip,1,10,0.719,0.653,0.7640135823517836,0.7156100006613928,0.7980661563762339,0.7691268741668414
2026-03-18,blue_splicing,winclip,5,11,0.7489393939393939,0.6845454545454546,0.7829097097402289,0.7323468935890326,0.8119836058489127,0.7835572723749453
2026-03-18,red_splicing,promptad,1,10,0.817704081632653,0.7965051020408163,0.7333178232113308,0.6814284059550765,0.7851178033335467,0.7944511607560775
2026-03-18,red_splicing,promptad,5,10,0.844591836734694,0.8044132653061224,0.7655158826522287,0.6902013204388068,0.8155302661549989,0.803771455419875
2026-03-18,red_splicing,winclip,1,10,0.7563775510204082,0.627704081632653,0.6717383736891207,0.5141176567098972,0.7398766489923304,0.6721367520371564
2026-03-18,red_splicing,winclip,5,11,0.8060296846011131,0.6760667903525047,0.7254896127810068,0.5523592385810145,0.7776469943758832,0.6867640245006367
2026-03-18,yellow_splicing,promptad,1,10,0.7251989389920425,0.6923519009725906,0.7599557758286409,0.729434950857778,0.8092632682782046,0.7793174723127945
2026-03-18,yellow_splicing,promptad,5,10,0.7676392572944297,0.7214854111405835,0.7887649224471416,0.7537184131701629,0.8216210337328075,0.7899947983794899
2026-03-18,yellow_splicing,winclip,1,10,0.6912466843501326,0.6068965517241379,0.7472577880767121,0.740951844720164,0.7887212413210298,0.7388167484076494
2026-03-18,yellow_splicing,winclip,5,11,0.7550036170725826,0.7069367414195,0.8143488525190687,0.8036977306345182,0.807877117062115,0.7641116250611443
2026-03-18,pushpins,promptad,1,10,0.6135690396559961,0.60127408823061,0.691466913651768,0.6864361637154321,0.7719995883172135,0.7685178129979973
2026-03-18,pushpins,promptad,5,10,0.6568362796623666,0.5961299569995222,0.7264467596369496,0.6827742169361385,0.7806583700671272,0.7678582294880572
2026-03-18,pushpins,winclip,1,10,0.6489329511068641,0.5407748049052397,0.7169842577423668,0.6086692266834508,0.7781722365616717,0.7610711096142871
2026-03-18,pushpins,winclip,5,11,0.6630796739492392,0.5527733136428788,0.7281264224109202,0.621920708829778,0.787838998825494,0.7637202513973247
