gpu_id,cmd_index,total_cmds,return_code,elapsed_sec,started_at,dry_run,log_path,command
1,9,40,0,336.333,2026-03-18 14:43:09,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_009.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,10,40,0,284.386,2026-03-18 14:48:45,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_010.log,python train_hybrid.py --data_name screw_bag --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,11,40,0,135.44,2026-03-18 14:53:29,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_011.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,12,40,0,137.724,2026-03-18 14:55:45,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_012.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,13,40,0,133.465,2026-03-18 14:58:02,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_013.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,14,40,0,134.794,2026-03-18 15:00:16,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_014.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,15,40,0,137.172,2026-03-18 15:02:31,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_015.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,16,40,0,134.847,2026-03-18 15:04:48,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_016.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,17,40,0,138.283,2026-03-18 15:07:03,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_017.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
1,18,40,0,136.777,2026-03-18 15:09:21,0,logs/multi_gpu_queue/20260318_140155/gpu_1/cmd_018.log,python train_hybrid.py --data_name orange_juice --mask True --text True --double_encoder True --few_shot True --shot 5 --hybrid_model winclip --hybrid_weight 0.3 --hybrid_batch_size 16 --epoch 100 --log True --lr 5e-4 --detection True --preprocess True
